Age,Gender,Mood,Stress,SleepQuality,Anxiety,FavGenre,Language,Activity,RecommendedPlaylist
53,Female,Happy,2,Good,6,Nature Sounds,Spanish,Exercise,playlist_5
66,Male,Tired,8,Poor,9,Pop,Spanish,Sleeping,playlist_2
43,Male,Tired,2,Good,6,Classical,Tamil,Studying,playlist_1
29,Female,Happy,9,Good,3,Pop,Kannada,Relaxation,playlist_1
57,Male,Anxiety,4,Poor,1,Lo-fi,Malayalam,Relaxation,playlist_3
22,Female,Tired,1,Fair,4,Nature Sounds,Tamil,Relaxation,playlist_5
35,Female,Anxiety,4,Good,4,Lo-fi,Telugu,Sleeping,playlist_3
53,Male,Happy,3,Good,8,Instrumental,Tamil,Relaxation,playlist_1
72,Male,Tired,6,Poor,10,Pop,Other,Meditation,playlist_3
33,Female,Sad,7,Poor,10,Pop,Hindi,Exercise,playlist_2
37,Female,Happy,8,Poor,7,Pop,Other,Relaxation,playlist_1
25,Female,Angry,2,Poor,10,Classical,Kannada,Meditation,playlist_3
25,Male,Anxiety,6,Fair,7,Lo-fi,Kannada,Meditation,playlist_3
38,Female,Happy,6,Good,7,Instrumental,Tamil,Sleeping,playlist_1
67,Male,Happy,10,Good,2,Classical,Hindi,Sleeping,playlist_2
50,Male,Tired,5,Good,9,Classical,Spanish,Exercise,playlist_5
54,Female,Tired,10,Good,6,Nature Sounds,Malayalam,Exercise,playlist_5
38,Female,Tired,10,Fair,2,Instrumental,Tamil,Studying,playlist_1
17,Male,Angry,7,Good,1,Pop,Telugu,Exercise,playlist_4
36,Female,Tired,3,Fair,1,Pop,Spanish,Sleeping,playlist_5
67,Female,Happy,4,Fair,1,Nature Sounds,Kannada,Meditation,playlist_1
16,Male,Tired,10,Poor,4,Pop,Spanish,Studying,playlist_1
38,Female,Sad,9,Poor,4,Lo-fi,Kannada,Exercise,playlist_2
58,Female,Tired,4,Good,9,Pop,Malayalam,Meditation,playlist_3
44,Female,Angry,3,Fair,1,Lo-fi,Hindi,Sleeping,playlist_4
52,Female,Sad,2,Poor,3,Nature Sounds,English,Relaxation,playlist_2
16,Female,Happy,5,Fair,3,Nature Sounds,Malayalam,Studying,playlist_1
74,Female,Happy,4,Poor,8,Lo-fi,Hindi,Meditation,playlist_3
35,Male,Anxiety,8,Fair,2,Pop,Other,Sleeping,playlist_2
47,Male,Sad,7,Good,6,Nature Sounds,Spanish,Sleeping,playlist_2
26,Female,Anxiety,6,Good,4,Nature Sounds,Telugu,Studying,playlist_1
72,Female,Sad,2,Fair,10,Lo-fi,Hindi,Studying,playlist_1
36,Male,Sad,3,Poor,6,Nature Sounds,Malayalam,Exercise,playlist_5
58,Male,Angry,10,Poor,5,Pop,English,Exercise,playlist_4
39,Female,Anxiety,9,Good,9,Nature Sounds,Spanish,Studying,playlist_1
63,Male,Angry,9,Good,9,Lo-fi,Telugu,Studying,playlist_1
41,Male,Sad,5,Good,1,Pop,Telugu,Meditation,playlist_2
73,Male,Happy,3,Poor,3,Instrumental,Other,Exercise,playlist_5
56,Female,Sad,2,Poor,1,Lo-fi,English,Sleeping,playlist_2
42,Male,Angry,8,Good,6,Instrumental,Other,Exercise,playlist_4
74,Female,Anxiety,6,Fair,3,Nature Sounds,Tamil,Exercise,playlist_3
