id,song,artist_or_source,language,genre,mood,activity,energy,min_age,max_age,age_group,recommendation_tags,context_mood,context_activity,context_energy
HR-001,Inthandham,Sita Ramam,Telugu,Melody,Calm,Studying,Low,1,5,1-5,"Telugu,Melody,Calm,Studying,Low",Happy,Walking,Medium
HR-002,Oh Sita Hey Rama,Sita Ramam,Telugu,Melody,Calm,Studying,Low,6,12,6-12,"Telugu,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-003,Adiga Adiga,Ninnu Kori,Telugu,Melody,Stressed,Studying,Low,13,17,13-17,"Telugu,Melody,Stressed,Studying,Low",Stressed,Studying,Low
HR-004,Kadalalle,Dear Comrade,Telugu,Melody,Calm,Relaxing,Low,18,25,18-25,"Telugu,Melody,Calm,Relaxing,Low",Sad,Relaxing,Low
HR-005,Maate Vinadhuga,Taxiwaala,Telugu,Melody,Calm,Studying,Low,26,35,26-35,"Telugu,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-006,Priyathama Priyathama,Majili,Telugu,Melody,Emotional,Relaxing,Low,36,50,36-50,"Telugu,Melody,Emotional,Relaxing,Low",Happy,Party,High
HR-007,Nee Kannu Neeli Samudram,Uppena,Telugu,Melody,Calm,Relaxing,Low,51,65,51-65,"Telugu,Melody,Calm,Relaxing,Low",Energetic,Workout,High
HR-008,Undiporaadhey,Hushaaru,Telugu,Melody,Emotional,Relaxing,Low,66,80,66-80,"Telugu,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-009,Inkem Inkem Inkem Kaavaale,Geetha Govindam,Telugu,Melody,Happy,Studying,Medium,81,100,81-100,"Telugu,Melody,Happy,Studying,Medium",Bored,Walking,Medium
HR-010,Samajavaragamana,Ala Vaikunthapurramuloo,Telugu,Melody,Happy,Relaxing,Medium,1,5,1-5,"Telugu,Melody,Happy,Relaxing,Medium",Focused,Working,Low
HR-011,Vachindamma,Geetha Govindam,Telugu,Melody,Happy,Walking,Medium,6,12,6-12,"Telugu,Melody,Happy,Walking,Medium",Happy,Walking,Medium
HR-012,Naa Roja Nuvve,Kushi,Telugu,Melody,Romantic,Relaxing,Low,13,17,13-17,"Telugu,Melody,Romantic,Relaxing,Low",Calm,Studying,Low
HR-013,Ramuloo Ramulaa,Ala Vaikunthapurramuloo,Telugu,Dance,Happy,Party,High,18,25,18-25,"Telugu,Dance,Happy,Party,High",Stressed,Studying,Low
HR-014,Mind Block,Sarileru Neekevvaru,Telugu,Dance,Energetic,Workout,High,26,35,26-35,"Telugu,Dance,Energetic,Workout,High",Sad,Relaxing,Low
HR-015,Oo Antava Oo Oo Antava,Pushpa,Telugu,Dance,Energetic,Workout,High,36,50,36-50,"Telugu,Dance,Energetic,Workout,High",Romantic,Relaxing,Low
HR-016,Daakko Daakko Meka,Pushpa,Telugu,Folk,Energetic,Workout,High,51,65,51-65,"Telugu,Folk,Energetic,Workout,High",Happy,Party,High
HR-017,Seeti Maar,DJ,Telugu,Dance,Energetic,Workout,High,66,80,66-80,"Telugu,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-018,Blockbuster,Sarrainodu,Telugu,Dance,Happy,Party,High,81,100,81-100,"Telugu,Dance,Happy,Party,High",Calm,Meditation,Low
HR-019,Pakka Local,Janatha Garage,Telugu,Dance,Happy,Party,High,1,5,1-5,"Telugu,Dance,Happy,Party,High",Bored,Walking,Medium
HR-020,Top Lesi Poddi,Iddarammayilatho,Telugu,Dance,Happy,Party,High,6,12,6-12,"Telugu,Dance,Happy,Party,High",Focused,Working,Low
HR-021,Inthandham,Sita Ramam,Telugu,Melody,Calm,Studying,Low,13,17,13-17,"Telugu,Melody,Calm,Studying,Low",Happy,Walking,Medium
HR-022,Oh Sita Hey Rama,Sita Ramam,Telugu,Melody,Calm,Studying,Low,18,25,18-25,"Telugu,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-023,Adiga Adiga,Ninnu Kori,Telugu,Melody,Stressed,Studying,Low,26,35,26-35,"Telugu,Melody,Stressed,Studying,Low",Stressed,Studying,Low
HR-024,Kadalalle,Dear Comrade,Telugu,Melody,Calm,Relaxing,Low,36,50,36-50,"Telugu,Melody,Calm,Relaxing,Low",Sad,Relaxing,Low
HR-025,Maate Vinadhuga,Taxiwaala,Telugu,Melody,Calm,Studying,Low,51,65,51-65,"Telugu,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-026,Priyathama Priyathama,Majili,Telugu,Melody,Emotional,Relaxing,Low,66,80,66-80,"Telugu,Melody,Emotional,Relaxing,Low",Happy,Party,High
HR-027,Nee Kannu Neeli Samudram,Uppena,Telugu,Melody,Calm,Relaxing,Low,81,100,81-100,"Telugu,Melody,Calm,Relaxing,Low",Energetic,Workout,High
HR-028,Undiporaadhey,Hushaaru,Telugu,Melody,Emotional,Relaxing,Low,1,5,1-5,"Telugu,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-029,Inkem Inkem Inkem Kaavaale,Geetha Govindam,Telugu,Melody,Happy,Studying,Medium,6,12,6-12,"Telugu,Melody,Happy,Studying,Medium",Bored,Walking,Medium
HR-030,Samajavaragamana,Ala Vaikunthapurramuloo,Telugu,Melody,Happy,Relaxing,Medium,13,17,13-17,"Telugu,Melody,Happy,Relaxing,Medium",Focused,Working,Low
HR-031,Vachindamma,Geetha Govindam,Telugu,Melody,Happy,Walking,Medium,18,25,18-25,"Telugu,Melody,Happy,Walking,Medium",Happy,Walking,Medium
HR-032,Naa Roja Nuvve,Kushi,Telugu,Melody,Romantic,Relaxing,Low,26,35,26-35,"Telugu,Melody,Romantic,Relaxing,Low",Calm,Studying,Low
HR-033,Ramuloo Ramulaa,Ala Vaikunthapurramuloo,Telugu,Dance,Happy,Party,High,36,50,36-50,"Telugu,Dance,Happy,Party,High",Stressed,Studying,Low
HR-034,Mind Block,Sarileru Neekevvaru,Telugu,Dance,Energetic,Workout,High,51,65,51-65,"Telugu,Dance,Energetic,Workout,High",Sad,Relaxing,Low
HR-035,Oo Antava Oo Oo Antava,Pushpa,Telugu,Dance,Energetic,Workout,High,66,80,66-80,"Telugu,Dance,Energetic,Workout,High",Romantic,Relaxing,Low
HR-036,Daakko Daakko Meka,Pushpa,Telugu,Folk,Energetic,Workout,High,81,100,81-100,"Telugu,Folk,Energetic,Workout,High",Happy,Party,High
HR-037,Seeti Maar,DJ,Telugu,Dance,Energetic,Workout,High,1,5,1-5,"Telugu,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-038,Blockbuster,Sarrainodu,Telugu,Dance,Happy,Party,High,6,12,6-12,"Telugu,Dance,Happy,Party,High",Calm,Meditation,Low
HR-039,Pakka Local,Janatha Garage,Telugu,Dance,Happy,Party,High,13,17,13-17,"Telugu,Dance,Happy,Party,High",Bored,Walking,Medium
HR-040,Top Lesi Poddi,Iddarammayilatho,Telugu,Dance,Happy,Party,High,18,25,18-25,"Telugu,Dance,Happy,Party,High",Focused,Working,Low
HR-041,Inthandham,Sita Ramam,Telugu,Melody,Calm,Studying,Low,26,35,26-35,"Telugu,Melody,Calm,Studying,Low",Happy,Walking,Medium
HR-042,Oh Sita Hey Rama,Sita Ramam,Telugu,Melody,Calm,Studying,Low,36,50,36-50,"Telugu,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-043,Adiga Adiga,Ninnu Kori,Telugu,Melody,Stressed,Studying,Low,51,65,51-65,"Telugu,Melody,Stressed,Studying,Low",Stressed,Studying,Low
HR-044,Kadalalle,Dear Comrade,Telugu,Melody,Calm,Relaxing,Low,66,80,66-80,"Telugu,Melody,Calm,Relaxing,Low",Sad,Relaxing,Low
HR-045,Maate Vinadhuga,Taxiwaala,Telugu,Melody,Calm,Studying,Low,81,100,81-100,"Telugu,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-046,Priyathama Priyathama,Majili,Telugu,Melody,Emotional,Relaxing,Low,1,5,1-5,"Telugu,Melody,Emotional,Relaxing,Low",Happy,Party,High
HR-047,Nee Kannu Neeli Samudram,Uppena,Telugu,Melody,Calm,Relaxing,Low,6,12,6-12,"Telugu,Melody,Calm,Relaxing,Low",Energetic,Workout,High
HR-048,Undiporaadhey,Hushaaru,Telugu,Melody,Emotional,Relaxing,Low,13,17,13-17,"Telugu,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-049,Inkem Inkem Inkem Kaavaale,Geetha Govindam,Telugu,Melody,Happy,Studying,Medium,18,25,18-25,"Telugu,Melody,Happy,Studying,Medium",Bored,Walking,Medium
HR-050,Samajavaragamana,Ala Vaikunthapurramuloo,Telugu,Melody,Happy,Relaxing,Medium,26,35,26-35,"Telugu,Melody,Happy,Relaxing,Medium",Focused,Working,Low
HR-051,Vachindamma,Geetha Govindam,Telugu,Melody,Happy,Walking,Medium,36,50,36-50,"Telugu,Melody,Happy,Walking,Medium",Happy,Walking,Medium
HR-052,Naa Roja Nuvve,Kushi,Telugu,Melody,Romantic,Relaxing,Low,51,65,51-65,"Telugu,Melody,Romantic,Relaxing,Low",Calm,Studying,Low
HR-053,Ramuloo Ramulaa,Ala Vaikunthapurramuloo,Telugu,Dance,Happy,Party,High,66,80,66-80,"Telugu,Dance,Happy,Party,High",Stressed,Studying,Low
HR-054,Mind Block,Sarileru Neekevvaru,Telugu,Dance,Energetic,Workout,High,81,100,81-100,"Telugu,Dance,Energetic,Workout,High",Sad,Relaxing,Low
HR-055,Oo Antava Oo Oo Antava,Pushpa,Telugu,Dance,Energetic,Workout,High,1,5,1-5,"Telugu,Dance,Energetic,Workout,High",Romantic,Relaxing,Low
HR-056,Daakko Daakko Meka,Pushpa,Telugu,Folk,Energetic,Workout,High,6,12,6-12,"Telugu,Folk,Energetic,Workout,High",Happy,Party,High
HR-057,Seeti Maar,DJ,Telugu,Dance,Energetic,Workout,High,13,17,13-17,"Telugu,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-058,Blockbuster,Sarrainodu,Telugu,Dance,Happy,Party,High,18,25,18-25,"Telugu,Dance,Happy,Party,High",Calm,Meditation,Low
HR-059,Pakka Local,Janatha Garage,Telugu,Dance,Happy,Party,High,26,35,26-35,"Telugu,Dance,Happy,Party,High",Bored,Walking,Medium
HR-060,Top Lesi Poddi,Iddarammayilatho,Telugu,Dance,Happy,Party,High,36,50,36-50,"Telugu,Dance,Happy,Party,High",Focused,Working,Low
HR-061,Inthandham,Sita Ramam,Telugu,Melody,Calm,Studying,Low,51,65,51-65,"Telugu,Melody,Calm,Studying,Low",Happy,Walking,Medium
HR-062,Oh Sita Hey Rama,Sita Ramam,Telugu,Melody,Calm,Studying,Low,66,80,66-80,"Telugu,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-063,Adiga Adiga,Ninnu Kori,Telugu,Melody,Stressed,Studying,Low,81,100,81-100,"Telugu,Melody,Stressed,Studying,Low",Stressed,Studying,Low
